study,dimension,iteration,nc1,nc2,cor
study2,insight,100,192,197,0.5321950574421944
study2,simple,51,188,161,0.8081546365311015
study2,simple,52,169,171,0.6798572030133421
study2,simple,53,203,176,0.6695143299793385
study2,simple,54,191,155,0.6832520026011404
study2,simple,55,212,181,0.6284335215913475
study2,simple,56,154,188,0.8703796070939653
study2,simple,57,173,214,0.7457318606047638
study2,simple,58,175,182,0.6008194115647899
study2,simple,59,133,221,0.7276807902383434
study2,simple,60,173,175,0.7778823240490191
study2,simple,61,178,188,0.7063448347194294
study2,simple,62,144,211,0.7760288699712022
study2,simple,63,218,177,0.8098447421359638
study2,simple,64,195,166,0.8660032499071273
study2,simple,65,180,181,0.6972544192404557
study2,simple,66,219,177,0.6209270845619795
study2,simple,67,164,215,0.6120170120858097
study2,simple,68,213,167,0.8222472080358573
study2,simple,69,195,172,0.6345741839094019
study2,simple,70,212,140,0.730640310839971
study2,simple,71,191,197,0.8152542401134685
study2,simple,72,162,185,0.727307792711026
study2,simple,73,187,174,0.8133548751823655
study2,simple,74,161,207,0.7642687685036275
study2,simple,75,166,209,0.8120030039626375
study2,simple,76,167,210,0.8604188900167746
study2,simple,77,200,182,0.7611263568868607
study2,simple,78,148,203,0.5991137358637096
study2,simple,79,223,155,0.7424669116907193
study2,simple,80,202,153,0.8110540736315925
study2,simple,81,179,208,0.7410476613296998
study2,simple,82,196,192,0.48881091367809254
study2,simple,83,166,165,0.8110887831605015
study2,simple,84,170,199,0.7755922809843157
study2,simple,85,146,193,0.5766948924370593
study2,simple,86,211,165,0.7237271219971935
study2,simple,87,172,157,0.7916027265056453
study2,simple,88,187,175,0.7643052259850261
study2,simple,89,167,195,0.7831763734697709
study2,simple,90,197,174,0.7051891175719907
study2,simple,91,195,152,0.7677098917994942
study2,simple,92,178,190,0.6639056009257958
study2,simple,93,147,177,0.5217365649675728
study2,simple,94,143,177,0.7322894271057238
study2,simple,95,184,195,0.49419413988321276
study2,simple,96,206,128,0.8908923838207023
study2,simple,97,212,169,0.9012303032433508
study2,simple,98,174,180,0.7638717379825648
study2,simple,99,171,211,0.7346942716871973
study2,simple,100,176,171,0.7348745580545148
study2,understanding,51,221,187,0.5326154322855412
study2,understanding,52,195,206,0.47238610070234704
study2,understanding,53,230,195,0.3078090238684485
study2,understanding,54,189,179,0.6583470754381155
study2,understanding,55,184,223,0.4897372703042199
study2,understanding,56,199,194,0.5374438058201777
study2,understanding,57,186,228,0.4277647412772257
study2,understanding,58,220,196,0.6885001577121593
study2,understanding,59,208,174,0.390090778375149
study2,understanding,60,217,187,0.4381851718798225
study2,understanding,61,252,149,0.392153479005393
study2,understanding,62,255,212,0.7053713583774782
study2,understanding,63,207,177,0.5332325970759997
study2,understanding,64,227,193,0.3187616390365043
study2,understanding,65,176,213,0.1926255845055552
study2,understanding,66,180,186,0.4543959662205655
study2,understanding,67,264,170,0.7780335362198713
study2,understanding,68,195,191,0.4795812820087404
study2,understanding,69,198,157,0.3046286296338316
study2,understanding,70,181,207,0.414590855846973
study2,understanding,71,197,185,0.4834553467682682
study2,understanding,72,164,241,0.5376798347601447
study2,understanding,73,169,202,0.588227653188582
study2,understanding,74,206,211,0.21277223551473765
study2,understanding,75,181,197,0.723300458327989
study2,understanding,76,214,176,0.6468972114637989
study2,understanding,77,184,204,0.5628685893473558
study2,understanding,78,194,208,0.4322846414011138
study2,understanding,79,155,199,0.1451693925125259
study2,understanding,80,210,212,0.46097946945627216
study2,understanding,81,191,194,0.1351301658100647
study2,understanding,82,199,186,0.45535823462862524
study2,understanding,83,169,235,0.7082907573724554
study2,understanding,84,199,189,0.600763422077291
study2,understanding,85,190,243,0.5413739081282325
study2,understanding,86,204,190,0.5854922053666901
study2,understanding,87,198,157,0.3467298839622161
study2,understanding,88,225,155,0.3502536058518679
study2,understanding,89,214,179,0.5476929955439983
study2,understanding,90,220,182,0.5208408523724734
study2,understanding,91,223,172,0.7090807823521705
study2,understanding,92,210,159,0.4413759312092763
study2,understanding,93,189,170,0.6436434672209348
study2,understanding,94,156,219,0.3217363143244341
study2,understanding,95,193,214,0.5809655820807869
study2,understanding,96,213,206,0.6406691707634821
study2,understanding,97,222,212,0.382573862281536
study2,understanding,98,163,237,0.6666172120974472
study2,understanding,99,206,193,0.438571056423816
study2,understanding,100,182,186,0.49413908591075684
study2,marks,51,176,191,0.8990106193458126
